Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
UBS90495,Middle East respiratory syndrome-related coronavirus,GenBank,,OK094452,,"Ngere,I., Hunsperger,E.A., Tong,S., Oyugi,J., Jaoko,W., Harcourt,J.L., Thornburg,N.J., Oyas,H., Muturi,M., Osoro,E.M., Gachohi,J., Ombok,C., Dawa,J., Tao,Y., Zhang,J., Mwasi,L., Ochieng,C., Mwatondo,A., Bodha,B., Langat,D., Herman-Roloff,A., Njenga,M.K., Widdowson,M.A., Munyua,P.M., Hunsperger,E., Lidechi,S., Onyango,C., Paden,C.",2022-09-02,Camel/Kenya/M23C14/2019,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1353,,,1,spike glycoprotein,Kenya,Kenya,,Camelus,oronasopharynx,2019-04-30,,,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
UBS90506,Middle East respiratory syndrome-related coronavirus,GenBank,,OK094453,,"Ngere,I., Hunsperger,E.A., Tong,S., Oyugi,J., Jaoko,W., Harcourt,J.L., Thornburg,N.J., Oyas,H., Muturi,M., Osoro,E.M., Gachohi,J., Ombok,C., Dawa,J., Tao,Y., Zhang,J., Mwasi,L., Ochieng,C., Mwatondo,A., Bodha,B., Langat,D., Herman-Roloff,A., Njenga,M.K., Widdowson,M.A., Munyua,P.M., Hunsperger,E., Lidechi,S., Onyango,C., Paden,C.",2022-09-02,Camel/Kenya/M23C15/2019,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1353,,,1,spike glycoprotein,Kenya,Kenya,,Camelus,oronasopharynx,2019-04-30,,,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
UBS90517,Middle East respiratory syndrome-related coronavirus,GenBank,,OK094454,,"Ngere,I., Hunsperger,E.A., Tong,S., Oyugi,J., Jaoko,W., Harcourt,J.L., Thornburg,N.J., Oyas,H., Muturi,M., Osoro,E.M., Gachohi,J., Ombok,C., Dawa,J., Tao,Y., Zhang,J., Mwasi,L., Ochieng,C., Mwatondo,A., Bodha,B., Langat,D., Herman-Roloff,A., Njenga,M.K., Widdowson,M.A., Munyua,P.M., Hunsperger,E., Lidechi,S., Onyango,C., Paden,C.",2022-09-02,Camel/Kenya/M23C15/2019,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1353,,,1,spike glycoprotein,,Kenya,,,oronasopharynx,,,,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
UVJ89042,Transmissible gastroenteritis virus,GenBank,,MW804449,,"Jia,A.Q., Zhu,L., Li,F., Wang,G.",2022-08-31,CH8438,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),1448,,,,spike protein,China,China,,Sus scrofa,feces,2017-11,,,spike protein [Transmissible gastroenteritis virus]
UVN12803,Porcine epidemic diarrhea virus,GenBank,,OK584017,,"Zhang,Y., Zhang,J., Jin,K.",2022-08-31,HN2021,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,China,China,,Sus scrofa,,2021-05,,,spike protein [Porcine epidemic diarrhea virus]
UVI58104,Porcine epidemic diarrhea virus,GenBank,,OL446966,,"Guo,Z., Gao,D., Wang,Y., Xu,X., Deng,M., Chen,L.",2022-08-30,CH/HNKF/2020,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,China,China,,Sus scrofa,feces,2020,,,spike protein [Porcine epidemic diarrhea virus]
UVI58110,Porcine epidemic diarrhea virus,GenBank,,OL446967,,"Guo,Z., Gao,D., Wang,Y., Xu,X., Deng,M., Chen,L.",2022-08-30,CH/HNPDS/2021,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1385,,,,spike protein,China,China,,Sus scrofa,feces,2021,,,spike protein [Porcine epidemic diarrhea virus]
UVF39813,Porcine epidemic diarrhea virus,GenBank,,ON155919,,"Li,X., Li,Y., Huang,J., Yao,Y., Zhao,W., Zhang,Y., Qing,J., Ren,J., Yan,Z., Wang,Z., Hu,X., Kang,D., Liu,H.",2022-08-27,NH-TA2020,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,1,spike protein,China,China,,Sus scrofa,,2020-03-12,,,spike protein [Porcine epidemic diarrhea virus]
UVD39578,Equine coronavirus,GenBank,,ON453890,,"Trachsel,C., Schoster,A., Bachofen,C.",2022-08-24,CH-ZH39,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike protein,Switzerland,Switzerland,,Equus caballus,feces,2015,,,spike protein [Equine coronavirus]
UVD39588,Equine coronavirus,GenBank,,ON453891,,"Trachsel,C., Schoster,A., Bachofen,C.",2022-08-24,CH-CVP3,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike protein,Switzerland,Switzerland,,Equus caballus,feces,2021,,,spike protein [Equine coronavirus]
UUX91032,Alphacoronavirus sp.,GenBank,,OK287352,,"Xia,X., Wang,B., Huang,B., Fan,Y., Huang,X., Qu,L., Hou,Y., Wang,R.",2022-08-20,Yunnan/Hp_JC8xc/2020,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),1349,,,,spike glycoprotein,China,China,,Hipposideros pomona,abdominal cavity,2020-05,,,spike glycoprotein [Alphacoronavirus sp.]
UUX91041,Alphacoronavirus sp.,GenBank,,OK287353,,"Xia,X., Wang,B., Huang,B., Fan,Y., Huang,X., Qu,L., Hou,Y., Wang,R.",2022-08-20,Yunnan_Rs_CX18c_2020,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),1354,,,,spike glycoprotein,China,China,,Rhinolophus sinicus,"feces, abdominal cavity",2020-10,,,spike glycoprotein [Alphacoronavirus sp.]
UUX91053,Sarbecovirus sp.,GenBank,,OK287354,,"Xia,X., Wang,B., Huang,B., Fan,Y., Huang,X., Qu,L., Hou,Y., Wang,R.",2022-08-20,BetaCoV_Yunnan_Rs_KMC6_2020,Sarbecovirus sp.,Betacoronavirus,Coronaviridae,ssRNA(+),1233,,,,spike glycoprotein,China,China,,Rhinolophus sinicus,"feces, abdominal cavity",2020-10,,,spike glycoprotein [Sarbecovirus sp.]
UUX91064,Sarbecovirus sp.,GenBank,,OK287355,,"Xia,X., Wang,B., Huang,B., Fan,Y., Huang,X., Qu,L., Hou,Y., Wang,R.",2022-08-20,BetaCoV_Yunnan_Rp_JCC9_2020,Sarbecovirus sp.,Betacoronavirus,Coronaviridae,ssRNA(+),1246,,,,spike glycoprotein,China,China,,Rhinolophus blythi,"feces, abdominal cavity",2020-03,,,spike glycoprotein [Sarbecovirus sp.]
UUW39419,Porcine epidemic diarrhea virus,GenBank,,OM914738,,"Yao,X., Li,J.L.",2022-08-17,CH/HLJBQL/2022,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1385,,,,spike protein,"China: Jiamusi, Heilongjiang Province",China,,Sus scrofa,,2021-11-20,SAMN26345658,PRJNA811642,spike protein [Porcine epidemic diarrhea virus]
UUT42761,Porcine epidemic diarrhea virus,GenBank,,MZ604716,,"Li,W., Luo,R.",2022-08-15,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1385,,,,spike protein,China,China,,Sus scrofa,,2016-10-20,,,spike protein [Porcine epidemic diarrhea virus]
UUT43474,Porcine deltacoronavirus,GenBank,,MZ388469,,"Qin,Y.B., Lu,B.X., He,Y., Zhao,W., Li,B., Duan,Q.P., Zhao,S., Zhou,Y.N., Liang,J.X., Jiang,D.F.",2022-08-15,CH/GX/PDCoV/1423/2016,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1160,,,,spike glycoprotein,China: Guangxi,China,,Sus scrofa,"feces, abdominal cavity",2016-12-19,,,spike glycoprotein [Porcine deltacoronavirus]
UUT43481,Porcine deltacoronavirus,GenBank,,MZ388470,,"Qin,Y.B., Lu,B.X., He,Y., Zhao,W., Li,B., Duan,Q.P., Zhao,S., Zhou,Y.N., Liang,J.X., Jiang,D.F.",2022-08-15,CH/GX/PDCoV/1472A/2017,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike glycoprotein,China: Guangxi,China,,Sus scrofa,feces,2017-01-22,,,spike glycoprotein [Porcine deltacoronavirus]
UUT43489,Porcine deltacoronavirus,GenBank,,MZ388471,,"Qin,Y.B., Lu,B.X., He,Y., Zhao,W., Li,B., Duan,Q.P., Zhao,S., Zhou,Y.N., Liang,J.X., Jiang,D.F.",2022-08-15,CH/GX/PDCoV/1491B/2017,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike glycoprotein,China: Guangxi,China,,Sus scrofa,feces,2017-02-13,,,spike glycoprotein [Porcine deltacoronavirus]
UUT43497,Porcine deltacoronavirus,GenBank,,MZ388472,,"Qin,Y.B., Lu,B.X., He,Y., Zhao,W., Li,B., Duan,Q.P., Zhao,S., Zhou,Y.N., Liang,J.X., Jiang,D.F.",2022-08-15,CH/GX/PDCoV/1539C/2017,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike glycoprotein,China: Guangxi,China,,Sus scrofa,"feces, abdominal cavity",2017-03-03,,,spike glycoprotein [Porcine deltacoronavirus]
UUT43505,Porcine deltacoronavirus,GenBank,,MZ388473,,"Qin,Y.B., Lu,B.X., He,Y., Zhao,W., Li,B., Duan,Q.P., Zhao,S., Zhou,Y.N., Liang,J.X., Jiang,D.F.",2022-08-15,CH/GX/PDCoV/1988A/2018,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike glycoprotein,China: Guangxi,China,,Sus scrofa,"feces, abdominal cavity",2018-02-06,,,spike glycoprotein [Porcine deltacoronavirus]
UUT43513,Porcine deltacoronavirus,GenBank,,MZ388474,,"Qin,Y.B., Lu,B.X., He,Y., Zhao,W., Li,B., Duan,Q.P., Zhao,S., Zhou,Y.N., Liang,J.X., Jiang,D.F.",2022-08-15,CH/GX/PDCoV/2081/2018,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1156,,,,spike glycoprotein,China: Guangxi,China,,Sus scrofa,"feces, abdominal cavity",2018-04-03,,,spike glycoprotein [Porcine deltacoronavirus]
UUT43943,Porcine epidemic diarrhea virus,GenBank,,ON968723,,"Li,J., Yao,X.",2022-08-15,CH/HLJJS/2022,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),1386,,,,spike protein,China: Heilongjiang Province,China,,Sus scrofa,,2022-03-20,,,spike protein [Porcine epidemic diarrhea virus]
UUT43949,Porcine deltacoronavirus,GenBank,,ON968724,,"Li,J., Yao,X.",2022-08-15,CH/LNFX/2022,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike protein,China: LiaoNing Province,China,,Sus scrofa,,2022-03-20,,,spike protein [Porcine deltacoronavirus]
UUT43980,Canine coronavirus,GenBank,,OP179857,,"De Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., De Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., Da Silva,L.D., Gabbay,Y.B.",2022-08-15,CCov/PK02/2019/BRA,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),1475,,,,spike protein,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,spike protein [Canine coronavirus]
UUS54213,Porcine deltacoronavirus,GenBank,,ON494594,,"Li,K., Luo,R.",2022-08-14,CHN-SF-2018,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike glycoprotein,China,China,,Sus scrofa,,2018-02-15,,,spike glycoprotein [Porcine deltacoronavirus]
BDP39411,Human coronavirus OC43,GenBank,,LC720427,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.",2022-07-30,HCoVOC43_Fukushima_OR7_2020,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1358,,,,spike protein,Japan: Fukushima,Japan,,Homo sapiens,oronasopharynx,2020,,,spike protein [Human coronavirus OC43]
BDP39418,Human coronavirus NL63,GenBank,,LC720428,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.",2022-07-30,HCoVNL63_Fukushima_O650_2019,Alphacoronavirus amsterdamense,Alphacoronavirus,Coronaviridae,ssRNA(+),1355,,,,spike glycoprotein,Japan: Fukushima,Japan,,Homo sapiens,oronasopharynx,2019,,,spike glycoprotein [Human coronavirus NL63]
BDP39427,Human coronavirus OC43,GenBank,,LC720429,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.",2022-07-30,HCoVOC43_Fukushima_O989_2019,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1355,,,,spike protein,Japan: Fukushima,Japan,,Homo sapiens,oronasopharynx,2019,,,spike protein [Human coronavirus OC43]
QBF80910,Porcine deltacoronavirus,GenBank,,MH700627,,"Saeng-Chuto,K., Tripipat,T., Nilubol,D.",2022-07-29,NT1_0416/2016,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1160,,,,spike protein,,,,Sus scrofa,abdominal cavity,,,,spike protein [Porcine deltacoronavirus]
QBF80916,Porcine deltacoronavirus,GenBank,,MH700628,,"Saeng-Chuto,K., Tripipat,T., Nilubol,D.",2022-07-29,P12_14_VN_0814,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1160,,,,spike protein,,,,Sus scrofa,abdominal cavity,,,,spike protein [Porcine deltacoronavirus]
QBF80922,Porcine deltacoronavirus,GenBank,,MH700629,,"Saeng-Chuto,K., Tripipat,T., Nilubol,D.",2022-07-29,P20_16_VN_0416,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1160,,,,spike protein,,,,Sus scrofa,abdominal cavity,,,,spike protein [Porcine deltacoronavirus]
UTU07678,Infectious bronchitis virus,GenBank,,MW791835,,"Hou,B., Wang,C.",2022-07-26,CK/CH/FJ/202005,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),1171,,,,spike glycoprotein,China,China,,Gallus gallus,,2020,,,spike glycoprotein [Infectious bronchitis virus]
UTM74095,Human coronavirus 229E,GenBank,,ON729316,SRR19551365,"Sereewit,J., Xie,H., Greninger,A.",2022-07-20,,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),1171,,,,spike protein,USA,USA,,Homo sapiens,,2019,SAMN28886782,PRJNA338014,spike protein [Human coronavirus 229E]
UTM74707,Bovine coronavirus,GenBank,,ON792941,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74717,Bovine coronavirus,GenBank,,ON792942,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74727,Bovine coronavirus,GenBank,,ON792943,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74737,Bovine coronavirus,GenBank,,ON792944,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74747,Bovine coronavirus,GenBank,,ON792945,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74757,Bovine coronavirus,GenBank,,ON792946,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74767,Bovine coronavirus,GenBank,,ON792947,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74777,Bovine coronavirus,GenBank,,ON792948,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74787,Bovine coronavirus,GenBank,,ON792949,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74797,Bovine coronavirus,GenBank,,ON792950,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74807,Bovine coronavirus,GenBank,,ON792951,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74817,Bovine coronavirus,GenBank,,ON792952,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74827,Bovine coronavirus,GenBank,,ON792953,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-04,,,spike glycoprotein [Bovine coronavirus]
UTM74837,Bovine coronavirus,GenBank,,ON792954,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-05,,,spike glycoprotein [Bovine coronavirus]
UTM74847,Bovine coronavirus,GenBank,,ON792955,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-05,,,spike glycoprotein [Bovine coronavirus]
UTM74857,Bovine coronavirus,GenBank,,ON792956,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-05,,,spike glycoprotein [Bovine coronavirus]
UTM74867,Bovine coronavirus,GenBank,,ON792957,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-06,,,spike glycoprotein [Bovine coronavirus]
UTM74877,Bovine coronavirus,GenBank,,ON792958,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-25,,,spike glycoprotein [Bovine coronavirus]
UTM74887,Bovine coronavirus,GenBank,,ON792959,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-10,,,spike glycoprotein [Bovine coronavirus]
UTM74897,Bovine coronavirus,GenBank,,ON792960,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-09,,,spike glycoprotein [Bovine coronavirus]
UTM74907,Bovine coronavirus,GenBank,,ON792961,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-11,,,spike glycoprotein [Bovine coronavirus]
UTM74917,Bovine coronavirus,GenBank,,ON792962,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2019-11-20,,,spike glycoprotein [Bovine coronavirus]
UTM74927,Bovine coronavirus,GenBank,,ON792963,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2020-03-19,,,spike glycoprotein [Bovine coronavirus]
UTM74937,Bovine coronavirus,GenBank,,ON792964,,"Ni Dhufaigh,K., McCabe,M., Cormican,P., Cuevas-Gomez,I., McGee,M., McDaneld,T., Earley,B.",2022-07-20,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1363,,,,spike glycoprotein,Ireland,Ireland,,Bos taurus,oronasopharynx,2020-03-18,,,spike glycoprotein [Bovine coronavirus]
USW46661,Rodent coronavirus,GenBank,,MW855473,,"Wang,H.X., Wang,L., Chen,J., Xiang,H., Liao,M., Huang,Y., Huang,Z.",2022-07-06,RCoV/GD/2020,Rodent coronavirus,,Coronaviridae,ssRNA(+),1350,,,,spike glycoprotein,China,China,,Rhizomys,,2020-02,,,spike glycoprotein [Rodent coronavirus]
USU85619,Porcine deltacoronavirus,GenBank,,MW816149,,"Jia,A., Zhu,L., Li,F., Wang,G.",2022-07-05,,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike glycoprotein,China,China,,Sus scrofa,,2018,,,spike glycoprotein [Porcine deltacoronavirus]
USU85638,Porcine deltacoronavirus,GenBank,,OL900393,,"Huang,X., Zhang,L., Xiao,D., Li,S., Liao,Y.",2022-07-05,,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),1159,,,,spike protein,China,China,,Sus scrofa,,2021-04-02,,,spike protein [Porcine deltacoronavirus]
USR47278,Human coronavirus OC43,GenBank,,MW559057,,"Xu,L., Zhang,S., Zhou,K., Zhu,X., Cao,K.",2022-07-02,Guangzhou 201301,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),1358,,,,spike protein,China,China,,Homo sapiens,oronasopharynx,2013-03-27,,,spike protein [Human coronavirus OC43]
USL83011,Middle East respiratory syndrome-related coronavirus,GenBank,,ON325306,,"Korneenko,E.V., Speranskaya,A.S., Samoilov,A.E., Artyushin,I.V., Dedkov,V.G., Dolgova,A.S.",2022-06-27,Bat-CoV/P.nathusii/Russia/MOW15-22/2015,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),1366,,,,spike protein,Russia,Russia,,Pipistrellus nathusii,feces,2015-08-15,,,spike protein [Middle East respiratory syndrome-related coronavirus]
BDN79587,Infectious bronchitis virus,GenBank,,LC716900,,"Mase,M., Hiramatsu,K., Watanabe,S., Iseki,H.",2022-06-25,,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),1163,,,,spike protein,Japan: Yamanashi,Japan,,Gallus gallus,,1993,,,spike protein [Infectious bronchitis virus]
BDN79600,Infectious bronchitis virus,GenBank,,LC716901,,"Mase,M., Hiramatsu,K., Watanabe,S., Iseki,H.",2022-06-25,,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),1164,,,,spike protein,Japan: Shimane,Japan,,Gallus gallus,,1998,,,spike protein [Infectious bronchitis virus]
